period_id,train_start,train_end,test_start,test_end,total_return_%,cagr_%,sharpe_ratio,max_drawdown_%,num_trades,total_costs,final_value
1,2020-01-01,2020-12-26,2020-12-27,2021-03-27,-0.07113542736817413,-5.802356639156148,0.0,0.15574533947755118,2,157.23750630560144,999288.6457263182
2,2020-03-31,2021-03-26,2021-03-27,2021-06-25,-0.13952359103898138,-8.420362767363676,0.0,0.39223831271866805,2,156.18666587489963,998604.7640896102
3,2020-06-29,2021-06-24,2021-06-25,2021-09-23,-1.1093054414500592,-60.82077128923121,0.0,1.1093054414500598,2,156.88271869445524,988906.9455854994
4,2020-09-27,2021-09-22,2021-09-23,2021-12-22,-0.5640797200017866,-37.8219655540904,0.0,0.5640797200017841,3,68.73238172006943,994359.2027999822
5,2020-12-26,2021-12-21,2021-12-22,2022-03-22,0.3432335468029901,33.3520596139135,0.0,0.18242126276732887,2,154.29821575155944,1003432.3354680298
6,2021-03-26,2022-03-21,2022-03-22,2022-06-20,-0.33223489231588577,-24.386998118383286,0.0,0.3322348923158832,2,146.744537749885,996677.6510768412
7,2021-06-24,2022-06-19,2022-06-20,2022-09-18,2.8387656764099933,15.483774628351954,3.4416447900873117,0.3863520414530403,1,141.90533982325897,1028387.6567641
8,2021-09-22,2022-09-17,2022-09-18,2022-12-17,0.039959900661989955,2.0339859192034515,0.0,0.1266369933962826,3,170.7103722930511,1000399.59900662
9,2021-12-21,2022-12-16,2022-12-17,2023-03-17,-1.073856490691072,-59.62331662792888,0.0,1.0738564906910761,2,156.69794757025568,989261.4350930892
10,2022-03-21,2023-03-16,2023-03-17,2023-06-15,0.2867221870289871,27.188749707756376,0.0,0.11074091111555463,2,157.33806651268225,1002867.2218702898
11,2022-06-19,2023-06-14,2023-06-15,2023-09-13,1.0007458911887257,130.8154146950769,0.0,0.0,2,153.90833526989536,1010007.4589118873
12,2022-09-17,2023-09-12,2023-09-13,2023-12-12,0.7995181741906165,95.21371134368808,0.0,0.09630165918340208,2,155.75400001464462,1007995.1817419062
13,2022-12-16,2023-12-11,2023-12-12,2024-03-11,3.2036719561671534,1313.8149490330673,0.0,0.0,2,158.42440324205754,1032036.7195616716
14,2023-03-16,2024-03-10,2024-03-11,2024-06-09,0.943311596357943,120.04629377866878,0.0,0.0,2,158.60064337694413,1009433.1159635794
15,2023-06-14,2024-06-08,2024-06-09,2024-09-07,1.450862070515413,235.3376437644117,0.0,0.05075248026583576,2,152.09059306658574,1014508.6207051541
