symbol,signal,entry_price,signal_date,confidence,composite_score,stop_loss,target,regime,gross_1d,ret_1d,win_1d,nifty_1d,excess_1d,gross_3d,ret_3d,win_3d,nifty_3d,excess_3d,gross_5d,ret_5d,win_5d,nifty_5d,excess_5d,gross_10d,ret_10d,win_10d,nifty_10d,excess_10d,entry_date,entry_open,alpha_pead,alpha_momentum,alpha_fii_dii,alpha_mean_rev,alpha_bulk_deal,alpha_delivery_pct,alpha_option_chain,alpha_insider,alpha_fo_ban,alpha_corp_event,alpha_rel_strength,alpha_sector_mom,alpha_pledge,alpha_sast,alpha_shp_delta,alpha_hi52
TATASTEEL.NS,BUY,209.19,2026-05-25,70.0,0.814,200.34,222.46,SIDEWAYS,0.272,-0.128,0,-0.377,0.248,2.287,1.887,1.0,-1.901,3.788,0.319,-0.081,0.0,-2.169,2.088,-1.491,-1.891,0.0,-3.174,1.283,2026-05-26,209.9,,,,,,,,,,,,,,,,
MARUTI.NS,BUY,12987.0,2026-05-25,65.0,0.633,12452.29,13789.07,SIDEWAYS,0.152,-0.248,0,-0.377,0.128,1.335,0.935,1.0,-1.901,2.836,-1.835,-2.235,0.0,-2.169,-0.066,-1.046,-1.446,0.0,-3.174,1.728,2026-05-26,13188.0,,,,,,,,,,,,,,,,
TITAN.NS,BUY,4079.8,2026-05-25,65.0,0.621,3831.16,4452.76,SIDEWAYS,-1.108,-1.508,0,-0.377,-1.131,-0.337,-0.737,0.0,-1.901,1.164,-3.066,-3.466,0.0,-2.169,-1.297,2.608,2.208,1.0,-3.174,5.383,2026-05-26,4151.9,,,,,,,,,,,,,,,,
SUNPHARMA.NS,BUY,1844.6,2026-05-25,60.0,0.6,1766.14,1962.29,SIDEWAYS,0.59,0.19,1,-0.377,0.567,0.781,0.381,1.0,-1.901,2.283,-1.831,-2.231,0.0,-2.169,-0.062,-2.612,-3.012,0.0,-3.174,0.162,2026-05-26,1830.0,,,,,,,,,,,,,,,,
DRREDDY.NS,BUY,1307.2,2026-05-25,65.0,0.6,1244.73,1400.91,SIDEWAYS,-0.383,-0.783,0,-0.377,-0.406,-1.05,-1.45,0.0,-1.901,0.451,-3.196,-3.596,0.0,-2.169,-1.427,-4.111,-4.511,0.0,-3.174,-1.337,2026-05-26,1333.0,,,,,,,,,,,,,,,,
POWERGRID.NS,BUY,294.3,2026-05-25,63.8,0.565,282.0,312.75,SIDEWAYS,-0.831,-1.231,0,-0.377,-0.854,1.746,1.346,1.0,-1.901,3.247,-3.0,-3.4,0.0,-2.169,-1.231,-3.169,-3.569,0.0,-3.174,-0.395,2026-05-26,295.0,,,,,,,,,,,,,,,,
NTPC.NS,BUY,388.65,2026-05-25,61.2,0.535,372.07,413.52,SIDEWAYS,-0.269,-0.669,0,-0.377,-0.292,1.894,1.494,1.0,-1.901,3.395,-3.084,-3.484,0.0,-2.169,-1.315,-7.447,-7.847,0.0,-3.174,-4.673,2026-05-26,390.75,,,,,,,,,,,,,,,,
HINDUNILVR.NS,BUY,2203.6,2026-05-25,60.0,0.508,2108.09,2346.87,SIDEWAYS,0.446,0.046,1,-0.377,0.422,-0.055,-0.455,0.0,-1.901,1.447,-5.242,-5.642,0.0,-2.169,-3.473,-3.551,-3.951,0.0,-3.174,-0.776,2026-05-26,2199.6,,,,,,,,,,,,,,,,
NTPC.NS,BUY,390.05,2026-05-26,57.5,0.467,373.41,415.0,SIDEWAYS,1.998,1.598,1,0.112,1.486,-0.884,-1.284,0.0,-2.084,0.801,-5.879,-6.279,0.0,-1.988,-4.291,-7.16,-7.56,0.0,-2.786,-4.774,2026-05-27,390.35,,,,,,,,,,,,,,,,
TITAN.NS,BUY,4159.2,2026-05-26,57.5,0.467,3911.57,4530.64,SIDEWAYS,0.966,0.566,1,0.112,0.454,-0.571,-0.971,0.0,-2.084,1.113,-0.493,-0.893,0.0,-1.988,1.095,2.296,1.896,1.0,-2.786,4.682,2026-05-27,4098.3,,,,,,,,,,,,,,,,
