date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-26,SUNPHARMA.NS,BUY,0.767,70.0,1840.6,1763.44,1956.34,1.5,SIDEWAYS
2026-05-26,BHARTIARTL.NS,BUY,0.633,65.0,1874.8,1794.54,1995.19,1.5,SIDEWAYS
2026-05-26,BAJFINANCE.NS,BUY,0.6,60.0,941.9,898.57,1006.89,1.5,SIDEWAYS
2026-05-26,TATASTEEL.NS,BUY,0.6,62.5,210.22,201.46,223.36,1.5,SIDEWAYS
2026-05-26,DIVISLAB.NS,BUY,0.6,60.0,6756.5,6447.0,7220.75,1.5,SIDEWAYS
2026-05-26,HINDUNILVR.NS,BUY,0.508,60.0,2196.5,2101.29,2339.32,1.5,SIDEWAYS
2026-05-26,TITAN.NS,BUY,0.467,57.5,4159.2,3911.57,4530.64,1.5,SIDEWAYS
2026-05-26,NTPC.NS,BUY,0.467,57.5,390.05,373.41,415.0,1.5,SIDEWAYS
2026-05-26,COALINDIA.NS,BUY,0.433,57.5,458.0,436.56,490.15,1.5,SIDEWAYS
2026-05-26,DRREDDY.NS,BUY,0.433,57.5,1331.4,1266.37,1428.94,1.5,SIDEWAYS
2026-05-26,POWERGRID.NS,HOLD,0.325,53.3,295.35,286.49,304.21,1.0,SIDEWAYS
2026-05-26,EICHERMOT.NS,HOLD,0.045,67.0,7414.0,7191.58,7636.42,1.0,SIDEWAYS
2026-05-26,ASIANPAINT.NS,HOLD,0.012,58.8,2657.8,2578.07,2737.53,1.0,SIDEWAYS
2026-05-26,CIPLA.NS,HOLD,-0.011,60.0,1413.9,1371.48,1456.32,1.0,SIDEWAYS
2026-05-26,ITC.NS,HOLD,-0.021,61.7,303.95,294.83,313.07,1.0,SIDEWAYS
2026-05-26,LT.NS,HOLD,-0.043,65.0,4033.4,3912.4,4154.4,1.0,SIDEWAYS
2026-05-26,RELIANCE.NS,HOLD,-0.144,57.5,1367.0,1325.99,1408.01,1.0,SIDEWAYS
2026-05-26,MARUTI.NS,HOLD,-0.144,57.5,13170.0,12774.9,13565.1,1.0,SIDEWAYS
2026-05-26,SBIN.NS,HOLD,-0.171,70.0,969.6,940.51,998.69,1.0,SIDEWAYS
2026-05-26,BAJAJFINSV.NS,SELL,-0.271,58.3,1807.4,1879.1,1699.85,1.5,SIDEWAYS
2026-05-26,KOTAKBANK.NS,SELL,-0.308,60.0,392.85,411.59,364.74,1.5,SIDEWAYS
2026-05-26,AXISBANK.NS,SELL,-0.365,62.5,1311.2,1362.63,1234.06,1.5,SIDEWAYS
2026-05-26,ADANIENT.NS,SELL,-0.375,70.0,2849.7,3022.56,2590.41,1.5,SIDEWAYS
2026-05-26,HDFCBANK.NS,SELL,-0.414,56.7,786.85,817.89,740.3,1.5,SIDEWAYS
2026-05-26,ICICIBANK.NS,SELL,-0.475,60.0,1291.8,1335.49,1226.27,1.5,SIDEWAYS
2026-05-26,WIPRO.NS,SELL,-0.688,66.2,206.84,214.74,194.99,1.5,SIDEWAYS
2026-05-26,TCS.NS,SELL,-0.711,65.0,2308.2,2402.21,2167.18,1.5,SIDEWAYS
2026-05-26,INFY.NS,SELL,-0.711,65.0,1168.5,1219.61,1091.83,1.5,SIDEWAYS
2026-05-26,HCLTECH.NS,SELL,-0.711,65.0,1165.7,1216.09,1090.12,1.5,SIDEWAYS
