date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
2026-05-29,ONGC.NS,BUY,61.6,0.618,274.05,260.6,294.22,1.5,14784.0,1.48,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.507, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.082, 'confidence': 34.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.384, 'confidence': 62.4}}"
2026-05-29,BHARTIARTL.NS,BUY,60.8,0.422,1852.2,1771.38,1973.43,1.5,14592.0,1.46,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.246, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.05, 'confidence': 56.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.239, 'confidence': 37.0}}"
2026-05-29,ITC.NS,BUY,62.5,0.285,291.95,282.63,305.93,1.5,15000.0,1.5,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.942, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.151, 'confidence': 47.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.339, 'confidence': 52.6}}"
2026-05-29,BANKBARODA.NS,SELL,62.4,-0.295,270.95,283.62,251.94,1.5,14976.0,1.5,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.449, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.122, 'confidence': 48.9}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.312, 'confidence': 50.7}}"
2026-05-29,ABB.NS,SELL,67.8,-0.367,7219.0,7656.33,6563.0,1.5,16272.0,1.63,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.768, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': -0.368, 'confidence': 53.4}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
2026-05-29,GRASIM.NS,SELL,62.0,-0.395,3170.0,3307.43,2963.86,1.5,14880.0,1.49,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.072, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.246, 'confidence': 47.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.327, 'confidence': 50.7}}"
2026-05-29,MARUTI.NS,SELL,65.6,-0.435,13364.0,13876.43,12595.35,1.5,15744.0,1.57,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.101, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.166, 'confidence': 46.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
2026-05-29,CIPLA.NS,SELL,63.1,-0.5,1418.2,1481.44,1323.34,1.5,15144.0,1.51,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.565, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.299, 'confidence': 49.9}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.339, 'confidence': 52.6}}"
2026-05-29,BPCL.NS,SELL,66.0,-0.514,307.15,322.64,283.91,1.5,15840.0,1.58,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.275, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.259, 'confidence': 47.9}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
2026-05-29,LTIM.NS,SELL,75.0,-0.57,5863.8,6109.86,5494.7,1.5,18000.0,1.8,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.13, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.0, 'confidence': 0.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
