date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-30,ONGC.NS,BUY,0.771,70.9,274.05,259.69,295.59,1.5,SIDEWAYS
2026-05-30,BHARTIARTL.NS,BUY,0.54,62.7,1852.2,1770.89,1974.16,1.5,SIDEWAYS
2026-05-30,COALINDIA.NS,BUY,0.525,65.5,463.05,432.25,509.24,1.5,SIDEWAYS
2026-05-30,APOLLOHOSP.NS,BUY,0.452,61.9,8272.5,7948.13,8759.06,1.5,SIDEWAYS
2026-05-30,COLPAL.NS,BUY,0.441,68.0,2087.4,1987.53,2237.21,1.5,SIDEWAYS
2026-05-30,TCS.NS,BUY,0.407,60.0,2284.2,2192.2,2422.2,1.5,SIDEWAYS
2026-05-30,ITC.NS,BUY,0.319,66.5,291.95,282.34,306.37,1.5,SIDEWAYS
2026-05-30,SUNPHARMA.NS,BUY,0.277,67.9,1844.3,1763.89,1964.91,1.5,SIDEWAYS
2026-05-30,SBILIFE.NS,BUY,0.263,66.3,1864.5,1794.25,1969.88,1.5,SIDEWAYS
2026-05-30,M&M.NS,BUY,0.254,69.9,3121.6,2980.13,3333.8,1.5,SIDEWAYS
