date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,hold_days,regime,vix,alpha_breakdown
2026-06-12,MAPMYINDIA.NS,SELL,66.1,-0.252,842.65,910.24,741.27,1.5,7932.0,0.79,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.959, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.049, 'confidence': 32.5, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': -0.4, 'confidence': 55.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,TCS.NS,SELL,63.2,-0.274,2135.6,2264.91,1941.63,1.5,10020.0,1.0,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.904, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.45, 'confidence': 61.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': -0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.051, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,BDL.NS,SELL,60.3,-0.282,1160.3,1226.36,1061.21,1.5,10168.0,1.02,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.822, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.278, 'confidence': 51.1, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': -0.4, 'confidence': 55.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,360ONE.NS,SELL,69.5,-0.283,1064.1,1123.19,975.47,1.5,12016.0,1.2,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': 0.0, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.058, 'confidence': 32.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,ULTRACEMCO.NS,SELL,72.8,-0.312,10830.0,11249.14,10201.29,1.5,18058.0,1.81,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': 0.055, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.102, 'confidence': 49.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.269, 'confidence': 48.5, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,HINDUNILVR.NS,SELL,65.3,-0.316,2139.8,2224.7,2012.45,1.5,15800.0,1.58,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.205, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.135, 'confidence': 48.2, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': -0.308, 'confidence': 50.4, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,BIKAJI.NS,SELL,62.8,-0.363,671.65,705.39,621.05,1.5,12003.0,1.2,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.384, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.35, 'confidence': 58.6, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,BLUESTARCO.NS,SELL,77.5,-0.368,1556.8,1649.49,1417.77,1.5,12497.0,1.25,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': 0.096, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.058, 'confidence': 32.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': -0.231, 'confidence': 46.5, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,COLPAL.NS,SELL,64.9,-0.371,2028.6,2110.6,1905.6,1.5,15413.0,1.54,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.329, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.237, 'confidence': 46.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.308, 'confidence': 50.4, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-12,ATUL.NS,SELL,68.2,-0.372,6496.5,6811.14,6024.54,1.5,13518.0,1.35,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.219, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.216, 'confidence': 45.8, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.058, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
