symbol,signal,confidence,composite_score,current_price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
ONGC.NS,BUY,70.9,0.771,274.05,259.69,295.59,1.5,17016.0,1.7,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.739, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 73.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.372, 'confidence': 60.4}}"
BHARTIARTL.NS,BUY,62.7,0.54,1852.2,1770.89,1974.16,1.5,15048.0,1.5,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.159, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.611, 'confidence': 65.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.226, 'confidence': 35.1}}"
COALINDIA.NS,BUY,65.5,0.525,463.05,432.25,509.24,1.5,15720.0,1.57,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.536, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.35, 'confidence': 61.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
APOLLOHOSP.NS,BUY,61.9,0.452,8272.5,7948.13,8759.06,1.5,14856.0,1.49,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.362, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.642, 'confidence': 67.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.314, 'confidence': 48.7}}"
COLPAL.NS,BUY,68.0,0.441,2087.4,1987.53,2237.21,1.5,16320.0,1.63,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.652, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 69.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.339, 'confidence': 52.6}}"
TCS.NS,BUY,60.0,0.407,2284.2,2192.2,2422.2,1.5,14400.0,1.44,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.942, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 69.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.126, 'confidence': 20.5}}"
ITC.NS,BUY,66.5,0.319,291.95,282.34,306.37,1.5,15960.0,1.6,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.971, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.39, 'confidence': 65.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.327, 'confidence': 50.7}}"
SUNPHARMA.NS,BUY,67.9,0.277,1844.3,1763.89,1964.91,1.5,16296.0,1.63,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.101, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 69.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.339, 'confidence': 52.6}}"
SBILIFE.NS,BUY,66.3,0.263,1864.5,1794.25,1969.88,1.5,15912.0,1.59,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.014, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.553, 'confidence': 62.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
M&M.NS,BUY,69.9,0.254,3121.6,2980.13,3333.8,1.5,16776.0,1.68,SIDEWAYS,17.82,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.043, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 69.8}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}}"
